Uniprot_ID,Gene_Name,Synonyms,Other_Accessions,PDB_ID,Method,Resolution,Chains
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5V67,X-ray,1.78 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5VBO,X-ray,1.30 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5VBP,X-ray,1.83 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5VOM,X-ray,1.67 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5VZS,X-ray,1.71 A,A/B=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5W55,X-ray,1.35 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5WA5,X-ray,1.17 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5WMA,X-ray,1.40 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5WMD,X-ray,1.27 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5WMG,X-ray,1.19 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5WUU,X-ray,1.72 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5XHY,X-ray,1.98 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5XI2,X-ray,1.91 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5XI3,X-ray,1.67 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5XI4,X-ray,1.49 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Y1Y,X-ray,1.91 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Y8C,X-ray,1.42 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Y8W,X-ray,1.76 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Y8Y,X-ray,1.87 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Y8Z,X-ray,1.84 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Y93,X-ray,1.62 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Y94,X-ray,2.00 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5YOU,X-ray,1.50 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5YOV,X-ray,1.45 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5YQX,X-ray,1.82 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z1R,X-ray,1.62 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z1S,X-ray,1.42 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z1T,X-ray,1.42 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z5T,X-ray,1.99 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z5U,X-ray,1.63 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z5V,X-ray,1.66 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z8G,X-ray,1.70 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z8R,X-ray,2.00 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z8Z,X-ray,1.80 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z90,X-ray,1.80 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z9C,NMR,,A=53-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",5Z9K,X-ray,1.89 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6AFR,X-ray,2.00 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6AJV,X-ray,1.45 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6AJW,X-ray,1.40 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6AJX,X-ray,1.89 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6AJY,X-ray,1.60 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6AJZ,Other,1.30 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6BN7,X-ray,3.50 A,C=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6BN8,X-ray,3.99 A,C=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6BN9,X-ray,4.38 A,C=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6BNB,X-ray,6.34 A,C=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6BNH,NMR,,A=601-683
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6BOY,X-ray,3.33 A,C=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6C7Q,X-ray,1.51 A,A=333-460
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6C7R,X-ray,1.50 A,A=44-165
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CD4,X-ray,1.23 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CD5,X-ray,1.58 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CIS,X-ray,1.51 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CIY,X-ray,1.68 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CJ1,X-ray,1.53 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CJ2,X-ray,1.47 A,A=42-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CKR,X-ray,1.62 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CKS,X-ray,1.72 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CZU,X-ray,1.47 A,A=42-170
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6CZV,X-ray,1.88 A,A=42-170
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6DJC,X-ray,1.46 A,A/B=44-173
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6DL2,X-ray,1.47 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6DMJ,X-ray,1.15 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6DML,X-ray,1.50 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6DNE,X-ray,2.96 A,A/B=44-477
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6DUV,X-ray,1.80 A,A/B=347-458
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6E4A,X-ray,1.26 A,A/B=44-170
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6FFD,X-ray,1.83 A,A=347-463
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6FNX,X-ray,1.19 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6FO5,X-ray,0.95 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6FSY,X-ray,1.34 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6FT3,X-ray,1.28 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6FT4,X-ray,1.34 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0D,X-ray,1.31 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0E,X-ray,1.61 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0F,X-ray,1.62 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0G,X-ray,1.48 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0H,X-ray,1.91 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0O,X-ray,1.40 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0P,X-ray,1.30 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0Q,X-ray,1.40 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0R,X-ray,1.25 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6G0S,X-ray,1.48 A,A/B=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6HDQ,X-ray,1.70 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6HOV,X-ray,1.85 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6I7X,X-ray,1.20 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6I7Y,X-ray,1.00 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6IN1,X-ray,1.50 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6JI3,X-ray,2.20 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6JI4,X-ray,1.60 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6JI5,X-ray,2.00 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6JJ3,X-ray,1.72 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6JJ5,X-ray,1.20 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6JJ6,X-ray,1.40 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6JJB,X-ray,1.51 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KEC,X-ray,1.35 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KED,X-ray,2.55 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KEE,X-ray,2.12 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KEF,X-ray,2.44 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KEG,X-ray,2.23 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KEH,X-ray,1.55 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KEI,X-ray,1.45 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KEJ,X-ray,1.85 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KEK,X-ray,1.55 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6KO2,X-ray,1.50 A,A=351-457
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6LG4,X-ray,1.85 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6LG5,X-ray,1.83 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6LG6,X-ray,1.98 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6LG7,X-ray,1.83 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6LG8,X-ray,1.58 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6LG9,X-ray,1.81 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6LIH,X-ray,1.62 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6LIM,X-ray,1.76 A,A=44-166
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6MAU,X-ray,2.11 A,A=44-170
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6MH1,X-ray,1.60 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6MH7,X-ray,1.74 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6MNL,NMR,,B=333-460
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6P05,X-ray,1.54 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6PRT,X-ray,1.30 A,A=43-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6PS9,X-ray,1.21 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6PSB,X-ray,1.59 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6Q3Y,X-ray,1.20 A,A/B=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6Q3Z,X-ray,2.00 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6RWJ,X-ray,1.40 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6S25,X-ray,1.10 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6S4B,X-ray,1.60 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6S6K,X-ray,1.40 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SA2,X-ray,1.50 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SA3,X-ray,1.80 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SAH,X-ray,1.50 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SAJ,X-ray,1.50 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SB8,X-ray,1.50 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SE4,X-ray,1.38 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SIS,X-ray,3.50 A,A/E=333-460
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SWN,X-ray,1.28 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6SWQ,X-ray,1.60 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6TPX,X-ray,1.48 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6TPY,X-ray,1.80 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6TPZ,X-ray,1.30 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6U0D,X-ray,1.43 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6U6K,X-ray,1.70 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6U6L,X-ray,2.60 A,A=347-464
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6U72,X-ray,2.30 A,A/B=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6U74,X-ray,1.85 A,A/B/C/D=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6U8G,X-ray,2.60 A,A/B/C/D=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6U8I,X-ray,2.50 A,A=347-464
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6U8M,X-ray,1.95 A,A/B=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6ULS,X-ray,1.50 A,A=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6ULV,X-ray,2.20 A,A/B/C/D=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6UVJ,X-ray,1.38 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6UVM,X-ray,1.51 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6UWU,X-ray,2.00 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6UWX,X-ray,1.31 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6V0U,X-ray,1.40 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6V1K,X-ray,1.75 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6V1L,X-ray,2.10 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6V1U,X-ray,1.73 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6VIW,X-ray,2.43 A,A/B/C=57-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6VIX,X-ray,2.12 A,A/B/C/D=352-457
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6VIZ,X-ray,2.39 A,A/B/C=57-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6VUB,X-ray,1.50 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6VUC,X-ray,1.55 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6VUF,X-ray,1.59 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6VUJ,X-ray,1.48 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6WGX,X-ray,1.53 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6WVX,X-ray,1.55 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6WW8,X-ray,2.30 A,A=43-180
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6X7B,X-ray,1.95 A,A/B=44-176
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6X7C,X-ray,2.70 A,A=44-176
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6X7D,X-ray,2.50 A,A/B=44-176
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6XUZ,X-ray,1.07 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6XV3,X-ray,1.47 A,A/B/C/D=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6XV7,X-ray,1.67 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6XVC,X-ray,1.10 A,B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6YIN,X-ray,1.53 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6YQN,X-ray,1.05 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6YQO,X-ray,1.07 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6YQP,X-ray,1.25 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6YQZ,X-ray,1.39 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6Z7G,X-ray,1.59 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6Z7L,X-ray,1.62 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6Z7M,X-ray,1.26 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6ZB3,X-ray,1.42 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6ZCI,X-ray,1.98 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6ZED,X-ray,1.08 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6ZEL,X-ray,1.12 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",6ZF9,X-ray,1.20 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7A9U,X-ray,1.44 A,AAA=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7AJN,X-ray,1.48 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7AQT,NMR,,A=351-459
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7AXR,X-ray,1.50 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7B1T,X-ray,1.92 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7C2Z,X-ray,1.30 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7C6P,X-ray,1.73 A,A=352-457
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7DHS,X-ray,1.76 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7EHW,X-ray,1.65 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7EHY,X-ray,1.51 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7EIG,X-ray,1.30 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7EIK,X-ray,1.70 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7EIL,X-ray,1.70 A,A=44-167
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7FH2,X-ray,2.49 A,A/B/C/D=42-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7JKW,X-ray,1.20 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7JKX,X-ray,1.20 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7JKY,X-ray,1.16 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7JKZ,X-ray,2.49 A,A=333-460
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7K6G,X-ray,1.70 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7K6H,X-ray,1.50 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7KHH,X-ray,2.28 A,D=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7KHL,X-ray,1.29 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7KO0,X-ray,1.90 A,A=349-460
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7L9M,X-ray,1.45 A,A/B=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7LA9,X-ray,2.20 A,A/B/C/D/E/F=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7LH8,X-ray,1.75 A,A=44-168
O60885,BRD4,HUNK1,"O60433, Q4G0X8, Q86YS8, Q96PD3",7M16,X-ray,1.42 A,A=44-168
